Epoch 1: Train Loss=0.1394, Val Acc=84.63%
Epoch 2: Train Loss=0.1060, Val Acc=91.76%
Epoch 3: Train Loss=0.0956, Val Acc=89.98%
Epoch 4: Train Loss=0.0804, Val Acc=94.21%
Epoch 5: Train Loss=0.0702, Val Acc=91.54%
Epoch 6: Train Loss=0.0597, Val Acc=93.32%
Epoch 7: Train Loss=0.0501, Val Acc=92.20%
Epoch 8: Train Loss=0.0440, Val Acc=93.54%
Epoch 9: Train Loss=0.0345, Val Acc=93.10%
Epoch 10: Train Loss=0.0426, Val Acc=92.87%
Epoch 11: Train Loss=0.0344, Val Acc=95.32%
Epoch 12: Train Loss=0.0225, Val Acc=94.43%
Epoch 13: Train Loss=0.0266, Val Acc=93.54%
Epoch 14: Train Loss=0.0300, Val Acc=93.99%
Epoch 15: Train Loss=0.0193, Val Acc=93.32%
Test accuracy: 94.21%
