Epoch 1: Train Loss=0.1773, Val Acc=82.30%
Epoch 2: Train Loss=0.1053, Val Acc=89.38%
Epoch 3: Train Loss=0.0797, Val Acc=88.05%
Epoch 4: Train Loss=0.0625, Val Acc=89.82%
Epoch 5: Train Loss=0.0626, Val Acc=93.36%
Epoch 6: Train Loss=0.0452, Val Acc=91.15%
Epoch 7: Train Loss=0.0516, Val Acc=93.81%
Epoch 8: Train Loss=0.0291, Val Acc=93.36%
Epoch 9: Train Loss=0.0189, Val Acc=94.69%
Epoch 10: Train Loss=0.0287, Val Acc=93.36%
Epoch 11: Train Loss=0.0362, Val Acc=89.38%
Epoch 12: Train Loss=0.0291, Val Acc=93.81%
Epoch 13: Train Loss=0.0229, Val Acc=91.15%
Epoch 14: Train Loss=0.0200, Val Acc=96.02%
Epoch 15: Train Loss=0.0153, Val Acc=95.58%
Test accuracy: 97.36%
